create,作成する
constant,絶え間ない
severe,厳しい
visual,ビジュアル
enormous,巨大な
convenient,便利
domestic,国内
mass,質量
typical,典型的な
overseas,海外
nevertheless,それにもかかわらず
demonstrate,実証する
behave,振る舞う
educate,教育する
purchase,購入
recommend,推薦する
admit,認める
generate,生成する
explore,探検する
amaze,驚かせる
tear,破れ目
settle,解決する
afford,余裕ある
conclude,結論する
advertise,広告
encounter,出会い
remind,思い出させる
locate,見つける
aid,援助
bite,噛む
deliver,届ける
perceive,知覚する
distinguish,区別する
imply,暗示する
handle,ハンドル
praise,賞賛
appeal,訴える
insist,主張する
compete,競争する
rank,ランク
deny,拒否
reject,拒否する
intend,意図する
expose,さらす
favor,好む
inspire,鼓舞する
propose,提案する
spell,スペル
breathe,息をする
repair,修理
consist,構成
comment,コメント
instruction,命令
religion,宗教
neighborhood,近所
laboratory,研究室
presence,面前
confidence,自信
harm,危害
instrument,楽器
category,カテゴリ
capital,資本
outcome,結果
notion,概念
review,レビュー
trait,特性
diversity,多様性
victim,被害者
occasion,機会
facility,施設
stock,ストック
conference,会議
humanity,人類
dialect,方言
proportion,割合
tip,ヒント
lawyer,弁護士
stuff,もの
comfort,快適
philosophy,哲学
mammal,哺乳類
quantity,量
landscape,風景
tribe,部族
organ,器官
trial,トライアル
norm,規範
code,コード
substance,物質
multiple,複数
numerous,多数の
narrow,狭い
widespread,広範囲にわたる
sufficient,十分な
proper,ちゃんとした
linguistic,言語学
annual,年間
contemporary,コンテンポラリー
contrary,逆に
strict,厳しい
civil,市民
odd,奇数
unknown,未知
superior,優れた
sensitive,センシティブ
violent,暴力的
virtual,バーチャル
regardless,関係なく
immediate,すぐに
crucial,重要な
somewhat,幾分
interpret,解釈する
translate,翻訳する
concentrate,集中
request,リクエスト
criticize,批判する
overcome,克服する
obtain,得る
inform,知らせる
ensure,確保する
announce,発表する
grant,付与
freeze,凍結
oppose,反対する
differ,異なる
hate,嫌い
emphasize,強調する
employ,雇用する
credit,クレジット
transform,変身
construct,構築する
arise,発生する
beat,ビート
regret,後悔
alter,変更する
absorb,吸収する
disappoint,がっかりする
cure,治す
transport,輸送
rush,急ぐ
hang,下がる
blame,非難
ban,禁止
fascinate,魅了する
recover,回復する
celebrate,祝う
manufacture,製造
interact,交流する
arrange,整える
adjust,調整する
confirm,確認する
insight,洞察力
innovation,革新
budget,予算
fee,手数料
expense,費用
debt,借金
loan,ローン
duty,義務
alarm,アラーム
emergency,緊急
democracy,民主主義
minister,大臣
fellow,仲間
candidate,候補者
corporation,株式会社
stereotype,ステレオタイプ
route,ルート
disorder,障害
depression,うつ
weapon,武器
immigration,移民
barrier,バリア
disadvantage,不利
mood,気分
motion,モーション
routine,ルーティーン
discipline,規律
myth,神話
hypothesis,仮説
physician,医師
client,クライアント
colony,コロニー
statistics,統計
grain,粒
ingredient,材料
treasure,宝物
contract,契約
welfare,福祉
prime,プライム
curious,好奇心旺盛
dramatic,劇的
distinct,明確な
anxious,心配している
vital,重要な
conventional,従来の
abstract,抽象的な
minor,マイナー
extraordinary,並外れた
stable,安定した
flexible,フレキシブル
brief,簡単な
aggressive,攻撃的
visible,見える
unexpected,予想外
ethnic,エスニック
alien,エイリアン
initial,イニシャル
extract,抽出する
precise,正確な
latter,後者
commit,専念
stimulate,刺激する
enhance,強化する
pursue,追求する
react,反応
disagree,反対
stare,見詰める
abandon,放棄する
quit,やめる
capture,捕獲
transfer,移行
bother,わざわざ
persuade,説得する
rent,家賃
breed,繁殖
invest,投資する
reserve,予約する
trace,トレース
illustrate,例示する
advise,アドバイス
convey,取り次ぐ
attach,添付
stretch,ストレッチ
puzzle,パズル
disturb,乱す
crash,クラッシュ
cope,対処する
permit,許可する
impress,印象づける
suspect,容疑者
upset,動揺
frighten,怖がらせる
import,輸入
export,輸出
investigate,調査する
monitor,モニター
calculate,計算する
eliminate,なくす
ease,容易に
launch,打ち上げ
sequence,順序
therapy,治療
symptom,症状
incident,事件
witness,目撃者
sum,和
burden,重荷
tone,トーン
honor,名誉
award,賞
priority,優先度
logic,論理
minimum,最小
exception,例外
clue,手がかり
bond,ボンド
virus,ウイルス
surgery,手術
insurance,保険
frame,フレーム
shelter,シェルター
territory,地域
boundary,境界
habitat,生息地
district,地区
conversation,会話
harvest,収穫
predator,捕食者
trap,トラップ
trick,トリック
fault,故障
discount,割引
bias,バイアス
cooperation,協力
patent,特許
dialogue,対話
component,成分
reputation,評判
verbal,口頭
internal,内部
solid,固体
remote,リモート
principal,主要
sophisticated,洗練された
equivalent,同等
rational,ラショナル
relevant,関連する
absolute,絶対
frequent,頻繁
permanent,永続
intense,激しい
meaningful,意味のある
evil,悪
extinct,絶滅した
random,ランダム
raw,生
rude,失礼
mere,単なる
tropical,トロピカル
forth,前
possess,所有する
dominate,支配する
guarantee,保証
melt,溶ける
embarrass,恥ずかしい思いをさせる
discourage,落胆させる
detect,検出する
devote,献身する
urge,衝動
lend,貸す
restrict,制限
isolate,分離株
accompany,同行する
exhaust,排気
annoy,いらいらさせる
endanger,危険にさらす
acknowledge,認める
admire,憧れ
evaluate,評価する
declare,宣言する
secure,安全な
specialize,専門化する
attribute,属性
pretend,演じる
bury,埋める
reverse,逆行する
resist,抵抗する
scare,恐怖
imitate,模倣する
assist,アシスト
resemble,似ている
retire,退職
neglect,無視
collapse,崩壊
reform,改革
protest,抗議する
owe,借りている
sustain,持続する
assign,割り当てる
accomplish,成し遂げる
wisdom,知恵
literacy,識字
heritage,遺産
mission,ミッション
license,ライセンス
elite,エリート
layer,層
motor,モーター
protein,タンパク質
profession,職業
editor,エディタ
agent,エージェント
globe,グローブ
haven,避難所
row,行
sacrifice,犠牲
means,手段
session,セッション
league,リーグ
contest,コンテスト
guard,ガード
opponent,対戦相手
glance,一目
divorce,離婚
tissue,組織
liquid,液体
inequality,不平等
prejudice,偏見
justice,正義
guideline,ガイドライン
platform,プラットフォーム
sector,セクタ
channel,チャネル
glacier,氷河
primate,霊長類
usage,使用法
fortune,運
correlation,相関
artistic,芸術的
literary,文学
classic,クラシック
liberal,リベラル
concrete,コンクリート
slight,わずかな
federal,連邦政府
primitive,原生的
unfamiliar,馴染みのない
subtle,微妙
plain,無地
marine,海洋
apparent,明らかな
reluctant,気が進まない
temporary,一時的
guilty,有罪
royal,ロイヤル
pure,純粋な
incredible,信じられない
eager,熱心な
adequate,十分な
via,経由
assess,評価
approve,承認する
remark,述べる
pose,ポーズ
yield,収率
exhibit,展示する
distribute,配布する
command,指示
occupy,占める
pop,ポップ
pile,パイル
greet,挨拶する
apologize,謝る
frustrate,イライラさせる
relieve,和らげる
drive,ドライブ
deserve,値する
peer,ピア
defeat,敗北
convert,変換する
wed,水曜日
delight,喜び
boost,ブースト
endure,耐える
correspond,対応する
impose,課す
rescue,レスキュー
resolve,解決する
register,登録する
interrupt,割り込み
rid,取り除く
prohibit,禁止する
compose,作曲する
misunderstand,誤解する
punish,罰する
ruin,台無しにする
defend,守る
embrace,抱きしめる
modify,修正する
qualify,適格
passion,情熱
enthusiasm,熱意
phase,段階
mode,モード
span,スパン
gravity,重力
orbit,軌道
asteroid,小惑星
core,コア
soul,魂
nerve,神経
infection,感染
mall,モール
grocery,食料品
humor,ユーモア
instinct,本能
faith,信仰
courage,勇気
incentive,インセンティブ
prospect,見通し
obstacle,障害
architecture,建築
stem,幹
illusion,錯覚
discrimination,差別
shame,恥
drought,干ばつ
flavor,風味
portion,部分
recipe,レシピ
luxury,贅沢
chip,チップ
ritual,儀式
sake,酒
prefecture,県
council,評議会
administration,管理
curriculum,カリキュラム
precious,貴重な
generous,寛大
casual,カジュアル
optimistic,楽観的
rough,粗い
unpleasant,不快
Arctic,北極
ultimate,究極の
deaf,聴覚障害者
genuine,本物
manual,マニュアル
mechanical,機械式
instant,インスタント
spare,スペア
immune,免疫
harsh,ひどい
collective,集合的
inevitable,避けられない
profound,深い
steady,安定した
mature,成熟した
likewise,同じく
chase,追跡
sue,訴える
gaze,視線
slip,スリップ
load,負荷
overwhelm,圧倒する
wander,さまよう
float,フロート
pour,注ぐ
substitute,代わりの
pronounce,発音する
shrink,縮む
restore,復元する
trigger,トリガー
grab,掴む
retain,保持
reproduce,再現
bob,ボブ
entertain,楽しませる
interfere,干渉する
cultivate,栽培
underlie,根底にある
anticipate,予想する
justify,正当化する
regulate,規制する
scan,スキャン
classify,分類する
submit,提出する
pause,一時停止
lean,傾く
bump,バンプ
fold,折り畳み
hesitate,ためらう
pump,ポンプ
mount,マウント
exceed,超える
undergo,受ける
confront,対する
consult,相談する
fulfill,満たす
privilege,特権
formation,形成
dimension,寸法
neuron,ニューロン
sensation,感覚
chart,チャート
geography,地理
panel,パネル
semester,学期
workforce,労働力
mill,製粉機
abuse,乱用
vice,悪徳
fate,運命
tragedy,悲劇
scenario,シナリオ
allergy,アレルギー
wound,傷
antibiotic,抗生物質
vaccine,ワクチン
metaphor,比喩
folk,フォーク
fare,運賃
transition,遷移
maximum,最大
galaxy,銀河
mineral,ミネラル
skeleton,スケルトン
counterpart,片方
stroke,脳卒中
pedestrian,歩行者
trail,トレイル
ecology,生態学
sibling,兄弟
ratio,比率
mixture,混合
charm,魅力
ambition,野心
prominent,目立つ
radical,ラジカル
prompt,プロンプト
informal,非公式
mutual,共通の
neutral,中性
alert,アラート
magnetic,磁気
polar,極地
fluent,流暢
external,外部の
passive,受け身
awful,ひどい
unrelated,関係ない
cruel,残酷な
fake,偽物
vulnerable,脆弱
urgent,緊急
spiritual,スピリチュアル
modest,控えめ
keen,鋭い
nonetheless,それにもかかわらず
negotiate,交渉する
grasp,把握する
donate,寄付する
arrest,逮捕
crack,割れ目
tap,タップ
split,スプリット
forecast,予報
exclude,除外
overlook,見下ろす
burst,バースト
heal,癒す
forbid,禁止する
install,インストール
diminish,減少する
cite,引用
quote,引用
dispute,紛争
highlight,ハイライト
distract,気を散らす
cheat,浮気
foster,里親
obey,従う
bend,曲げる
deprive,奪う
govern,統治する
log,ログ
transmit,送信
bully,いじめっ子
leap,跳躍
astonish,驚かせる
thrill,スリル
nod,うなずく
bow,弓
blend,ブレンド
complicate,複雑化
pitch,ピッチ
persist,持続する
dedicate,捧げる
equip,装備する
premise,前提
input,入力
merit,メリット
sympathy,同情
compliment,褒め言葉
infrastructure,インフラストラクチャー
ray,レイ
distress,苦痛
joint,ジョイント
expedition,遠征
adolescent,思春期
shade,シェード
jury,陪審
ethic,倫理
penalty,罰則
faculty,学部
scheme,スキーム
nutrition,栄養
particle,粒子
molecule,分子
nationality,国籍
poll,投票
clinic,クリニック
dementia,痴呆
fatigue,倦怠感
dilemma,ジレンマ
queue,列
curve,曲線
narrative,物語
fingerprint,指紋
file,ファイル
wilderness,荒野
pesticide,農薬
panic,パニック
fabric,ファブリック
fantasy,ファンタジー
fancy,ファンシー
virtue,美徳
grateful,ありがたい
valid,有効
elaborate,精巧な
moderate,適度
dynamic,動的
brave,勇敢な
brilliant,素晴らしい
tremendous,途方もない
oral,オーラル
innocent,無実の
subsequent,その後
shallow,浅い
indifferent,無関心
inferior,劣った
awkward,気まずい
obese,肥満
pregnant,妊娠中
intimate,親密な
medieval,中世
sacred,神聖
simultaneously,同時に
versus,対
proceed,進む
orient,オリエント
surf,サーフィン
filter,フィルター
bind,バインド
resort,リゾート
reinforce,強化する
accumulate,蓄積する
bet,ベット
advocate,提唱する
constitute,構成する
undertake,引き受ける
grip,グリップ
dismiss,却下する
fade,フェード
conceal,隠す
chew,噛む
swallow,飲み込む
seal,シール
migrate,移行
exaggerate,誇張する
accuse,告発する
vanish,消える
polish,研磨
wipe,ワイプ
sweep,スイープ
mislead,誤解させる
spoil,甘やかす
compound,化合物
explode,爆発する
disgust,嫌悪
commute,通勤
decorate,飾る
postpone,延期
cease,停止
compromise,妥協
elect,選挙
extract,抽出する
inherit,継承する
rear,後方
empathy,共感
cue,キュー
enterprise,企業
output,出力
congress,会議
millennium,ミレニアム
mankind,人類
Muslim,イスラム教徒
estate,エステート
landmine,地雷
caution,注意
controversy,論争
consensus,コンセンサス
retail,小売り
fiber,ファイバ
scent,香り
beverage,飲料
supplement,補足
diabetes,糖尿病
province,州
reef,リーフ
microbe,微生物
excess,過剰
gallery,ギャラリー
fame,名声
deadline,締め切り
undergraduate,学部
slavery,奴隷制度
prey,獲物
mess,混乱
recession,不況
retreat,後退
grave,墓
column,カラム
scenery,景色
plot,プロット
sculpture,彫刻
tablet,錠剤
dense,密集
exotic,エキゾチック
acid,酸
bitter,苦い
sensible,賢明な
noble,ノーブル
vague,漠然
parallel,平行
tense,時制
vertical,垂直
indigenous,先住民
aboriginal,先住民
seasonal,季節限定
abundant,豊富
hybrid,ハイブリッド
irrelevant,無関係
ridiculous,ばかげている
fairy,妖精
sensory,感覚
chronic,慢性
voluntary,自発的
inclined,傾斜
infer,推測する
esteem,尊敬
tackle,取り組む
venture,ベンチャー
accelerate,加速する
accustom,慣れる
amuse,楽しませる
flourish,繁栄する
thrive,繁栄する
nurture,育成
click,クリック
spin,スピン
clip,クリップ
drag,ドラッグ
cast,キャスト
scatter,散布
tempt,誘惑する
withdraw,撤回する
yawn,あくび
blink,瞬き
dye,染料
spill,こぼれる
irritate,刺激する
insult,侮辱
enforce,執行する
rob,ロブ
drain,ドレイン
suspend,つるす
drift,ドリフト
forgive,許す
revise,改訂
recruit,リクルート
twist,ねじれ
crush,打ち砕く
pin,ピン
uncover,明らかにする
exploit,エクスプロイト
implement,埋め込む
integrate,統合する
incorporate,組み込む
profile,プロフィール
appetite,食欲
impulse,衝動
script,スクリプト
anniversary,周年
pension,年金
temper,気性
cortex,皮質
syndrome,症候群
chamber,チャンバー
utility,ユーティリティ
cattle,牛
herd,群れ
fluid,流体
pity,残念
priest,祭司
acquaintance,知り合い
offspring,子孫
famine,飢饉
deforestation,森林破壊
jail,刑務所
commodity,商品
format,形式
recipient,受取人
drill,ドリル
inability,不可能
republic,共和国
combat,戦闘
debris,デブリ
bug,バグ
fraction,分数
index,索引
intuition,直感
motive,動機
consent,同意
hierarchy,階層
monument,記念碑
asset,資産
decent,ちゃんとした
competent,有能な
straightforward,分かりやすい
cosmetic,化粧品
delicate,繊細
interior,インテリア
transparent,透明
aesthetic,美的
deliberate,意図的に
demographic,人口統計
prehistoric,先史時代
innate,生来の
mild,軽度
toxic,有毒
ashamed,恥ずかしい
humble,謙虚な
peculiar,特異な
steep,急な
trivial,些細な
magnificent,壮大
wireless,無線
ongoing,進行中
assure,保証する
precede,先に進む
revive,復活させる
compel,強制する
blossom,花
terrify,恐怖を与える
violate,違反する
suppress,抑制する
deceive,欺く
manipulate,操作する
starve,飢える
flee,逃げる
whisper,ささやく
yell,叫ぶ
deposit,デポジット
confine,閉じ込める
swing,スイング
prolong,延長する
depict,描写する
outline,概要
shed,小屋
emit,放出する
renew,更新する
utilize,利用する
assert,アサート
strain,歪み
strive,努力する
dare,あえて
boast,自慢
startle,驚かせる
offend,侮辱する
compute,計算する
assemble,組み立てる
worsen,悪化する
flip,フリップ
rub,こする
descend,降下する
compensate,補償する
comprise,含む
prevail,勝つ
quest,クエスト
dignity,尊厳
criterion,基準
paradox,パラドックス
parliament,議会
legislation,法律
agenda,議題
mainstream,主流
troop,部隊
epidemic,伝染病
outbreak,アウトブレイク
chaos,カオス
nightmare,悪夢
horror,ホラー
cluster,クラスタ
pollen,花粉
hive,ハイブ
irrigation,灌漑
dose,用量
suicide,自殺
feast,宴会
cuisine,料理
rumor,噂
proverb,ことわざ
signature,サイン
formula,式
tuition,学費
intake,摂取量
spectrum,スペクトラム
kidney,腎臓
gear,ギヤ
aisle,通路
grief,悲しみ
destiny,運命
skull,頭蓋骨
tomb,墓
monk,モンク
worship,崇拝
outstanding,並外れた
unprecedented,前例のない 
infinite,無限
worthwhile,価値がある
indispensable,不可欠
compulsory,義務
probable,可能性が高い
ambiguous,曖昧
obscure,不明瞭
skeptical,懐疑的
fragile,壊れやすい
static,静的
gradual,徐々に
vocal,ボーカル
vivid,鮮やか
imperial,インペリアル
hostile,敵対的
superficial,表面的な
scarce,希少
gross,きもい
inherent,固有の
notable,注目すべき
update,アップデート
refresh,更新
bloom,咲く
conquer,征服する
induce,誘発する
attain,達成する
spray,スプレー
retrieve,取得する
portray,描写する
scratch,傷
designate,指定する
contradict,矛盾する
sigh,ため息
disrupt,破壊する
depart,出発
navigate,ナビゲーション
beg,懇願する
inhabit,住む
diagnose,診断する
comprehend,理解する
oblige,義務する
cram,詰め込む
flock,群れ
underestimate,過小評価する
clarify,明らかにする
spark,スパーク
seize,奪う
soar,高く舞い上がる
glow,光る
disguise,変装
distort,歪める
undermine,弱体化させる
abolish,廃止する
strip,ストリップ
dispose,処分する
dump,ごみ
weave,織り方
refine,リファイン
enrich,豊かに
coordinate,座標
headline,見出し
internship,インターンシップ
outlet,出口
remedy,治療法
pill,ピル
reception,受付
transaction,取引
mutation,突然変異
dairy,乳製品
compassion,思いやり
posture,姿勢
curse,呪い
funeral,葬儀
census,国勢調査
encyclopedia,百科事典
cereal,穀物
fragment,断片
patch,パッチ
rubbish,ごみ
maze,迷路
outlook,見通し
breakthrough,画期的な
triumph,勝利
ally,同盟
spectator,観客
sphere,球
county,郡
behalf,代理
interval,間隔
circulation,循環
blade,ブレード
theft,盗難
vacuum,真空
collision,衝突
bargain,お買い得
landmark,ランドマーク
revenue,収益
treaty,条約
supreme,最高
thorough,徹底的
naked,裸
sincere,誠実な
tame,飼いならす
insufficient,不十分
dim,薄暗い
acute,急性
disabled,無効
metropolitan,メトロポリタン
monetary,金銭
alternate,代替
partial,部分的
divine,神聖
drastic,劇的な
fierce,激しい
sole,唯一
spontaneous,自発的
spatial,空間
neat,きちんとした
tidy,きちんとした
loyal,忠実な
bless,祝福あれ
regain,取り戻す
confirm,確認する
enroll,登録する
entitle,権利
halt,停止
provoke,挑発する
invade,侵略する
squeeze,絞る
crawl,クロール
digest,ダイジェスト
utter,完全に
refrain,控える
populate,人口を増やす
accommodate,収容する
steer,操舵する
drown,溺れる
dip,浸漬
soak,浸す
stir,かき混ぜる
transplant,移植
reassure,安心させる
resume,再開する
speculate,推測する
surpass,超える
appoint,任命する
intrigue,陰謀
decay,減衰
contaminate,汚染する
swell,膨らむ
delete,消去
tolerate,許容する
envy,妬み
pray,祈る
confess,自慰行為
resign,辞任する
dissolve,溶解する
unfold,展開する
awaken,目覚める
conceive,妊娠する
entrepreneur,起業家
stake,ステーク
surplus,余剰
inflation,インフレーション
sweatshop,劣悪な労働環境の工場
clash,衝突
sociology,社会学
ideology,イデオロギー
margin,マージン
realm,領域
domain,ドメイン
algorithm,アルゴリズム
prairie,草原
frontier,フロンティア
bullet,弾丸
shield,シールド
despair,絶望
radiation,放射線
placebo,プラセボ
nursery,保育園
spouse,配偶者
makeup,補う
mummy,ミイラ
flesh,肉
limb,四肢
odor,臭い
laundry,ランドリー
tide,潮
questionnaire,アンケート
nonsense,ナンセンス
revenge,復讐
intellect,知性
hospitality,おもてなし
librarian,司書
manuscript,原稿
obsession,強迫観念
hygiene,衛生
paradigm,パラダイム
legitimate,正当な
authentic,本物
empirical,経験的
immense,巨大な
absurd,ばかげている
weird,奇妙な
accidental,偶発的
uneasy,不安
jealous,嫉妬深い
feminine,フェミニン
swift,迅速
hollow,中空
crude,原油
sore,痛み
pessimistic,悲観的
vain,虚栄心
susceptible,感受性が高い
edible,食用
sheer,透き通るような
explicit,明示的
prone,うつ伏せ
affluent,裕福な
collaborate,コラボレーション
exert,発揮する
excel,Excel
prosper,繁栄する
surge,うねり
intervene,介入する
insert,入れる
overtake,追い越し
snap,スナップ
carve,彫刻する
addict,中毒者
condemn,非難する
convict,囚人
dictate,指示する
prescribe,処方する
inhibit,阻害する
stray,迷子
roam,放浪する
enclose,同封
execute,実行する
coincide,一致する
lag,遅れ
cling,しがみつく
erase,消去
grind,グラインド
knit,ニット
inquire,お問い合わせ
betray,裏切る
leak,リーク
smash,スマッシュ
bounce,跳ね返る
sprawl,スプロール
converse,コンバース
recite,朗読
disregard,無視
drown,溺れる
evoke,呼び起こす
pledge,誓約
aspire,志す
contemplate,熟考する
grace,グレース
enlightenment,啓発
commerce,商業
draft,下書き
barrel,バレル
timber,木材
garment,衣服
thread,糸
cabinet,キャビネット
bureau,局
autonomy,自治
toll,通行料金
discourse,談話
superstition,迷信
glimpse,一瞥
arithmetic,算術
glossary,用語集
archive,アーカイブ
legacy,遺産
anthropology,人類学
rage,怒り
sorrow,悲しみ
psychiatrist,精神科医
ward,区
stall,ストール
flame,炎
moisture,水分
irony,アイロニー
warrior,戦士
astronomy,天文学
probe,プローブ
altitude,高度
tumor,腫瘍
defect,欠陥
sanitation,衛生
longevity,長寿
scope,範囲
sentiment,感情
plausible,もっともらしい
vigorous,活発な
masculine,男性的な
rigid,硬い
adverse,不利な
coherent,筋の通った
literal,リテラル
arbitrary,任意
anonymous,匿名
antique,アンティーク
eternal,永遠の
intermediate,中級
subordinate,下位
gloomy,暗い
thermal,熱
faint,かすかな
naive,世間知らず
apt,適切
arrogant,傲慢
extrovert,外向的
conspicuous,目立つ
intact,無傷
embody,体現する
illuminate,照らす
console,コンソール
verify,確認する
disclose,開示する
stack,スタック
rotate,回転
constrain,制約する
hinder,妨げる
withstand,耐える
tweet,ツイート
sneeze,くしゃみ
erupt,噴火する
blur,ぼやけ
overlap,重複
embed,埋め込み
displace,移動させる
render,与える
plunge,急降下
surrender,降伏
plug,プラグ
suck,吸う
mock,模擬
tease,からかい
soothe,落ち着かせる
stain,染色
shun,避ける
stumble,つまずく
flush,フラッシュ
impair,損なう
presume,推測する
contend,主張する
roar,咆哮
haunt,幽霊屋敷
divert,方向転換する
await,待つ
fetch,フェッチ
unify,統一する
inspect,検査する
entail,伴う
tactics,戦術
feat,フィーチャー
prestige,名声
analogy,類推
conscience,良心
textile,繊維
deficit,赤字
plague,疫病
hazard,危険
metabolism,代謝
paralysis,麻痺
grid,グリッド
carriage,キャリッジ
friction,摩擦
rebel,反逆者
regime,政権
monopoly,独占
staple,主食
merchandise,商品
vendor,ベンダー
supervisor,監督者
predecessor,前任者
personnel,職員
vessel,容器
liver,肝臓
duration,間隔
certificate,証明書
geometry,幾何学
symmetry,対称
biography,バイオグラフィー
masterpiece,傑作
rhyme,韻
premium,プレミアム
